> Border Bin # 118, Level 1
100	51.7500572213
100.553597314	51.735866331
101.377431907	51.4528114748
101.575341421	51.4877546349
102.218814374	51.3336385138
102.169222553	51.1129930571
102.356450752	50.7225146868
102.32776379	50.5694666972
102.918593118	50.3152513924
103.245288777	50.3027389944
103.32387274	50.1974517433
104.101930266	50.1438925765
104.425574121	50.2996871901
105.356679637	50.4834058137
105.989166094	50.4106202792
106.253299763	50.2983138781
106.737773709	50.3256275273
107.182269017	50.0241092546
107.422751202	50
> Border Bin # 119, Level 1
116.33432517	50
116.216678111	50.0283817807
116.12512398	50
> Border Bin # 119, Level 1
115.235675593	50
114.854200046	50.2282749676
114.313115129	50.2841229877
113.643091478	50
> Border Bin # 119, Level 1
119.122301061	50
119.321736477	50.0967421988
119.367208362	50.3097581445
119.137712673	50.3950560769
119.501945525	50.7418936446
119.518272679	50.899671931
119.745784695	51.0733196002
120	51.499656672
> Border Bin # 120, Level 1
120	51.499656672
120.096131838	51.6607919432
120.652170596	51.9136339361
120.776073854	52.1144426642
120.621652552	52.3399710079
120.71808957	52.5403219654
120.439765011	52.6366063935
120.072480354	52.5894560159
120.028381781	52.7678339818
120.863355459	53.279468986
121.207751583	53.2706187533
122.31387808	53.4874494545
122.839703975	53.451590753
123.262226291	53.5541313802
123.874113069	53.4779888609
124.10437171	53.340047303
124.254673075	53.356069276
124.401159686	53.211871519
124.850537881	53.0885786221
124.911879149	53.1697566186
125.164721141	53.1931029221
125.720302129	52.9869535363
125.65133135	52.875257496
125.844205386	52.8989089799
125.969939727	52.7627985046
126.095216297	52.764476997
125.988097963	52.5816739147
126.185854887	52.5403219654
126.319981689	52.3080796521
126.435492485	52.2803082322
126.318303197	52.191653315
126.556649119	52.1300068666
126.441443503	51.987487602
126.721446555	51.7084000916
126.671702144	51.5744258793
126.914168002	51.3789578088
126.809948882	51.2747386893
126.893263142	51.2385748074
126.859998474	51.306630045
126.972152285	51.317769131
126.930342565	51.0594338903
127.297016861	50.7319752804
127.330281529	50.3189135576
127.585259785	50.2082856489
> Border Bin # 120, Level 1
127.586327916	50.2030975814
127.547722591	50
> Border Bin # 154, Level 1
100	42.6446936751
100.314946212	42.6910811017
100.835584039	42.6781109331
101.814755474	42.5096513313
102.077210651	42.2333104448
102.712443732	42.1614404517
103.416342412	41.8872358282
103.863279164	41.8022430762
104.526741436	41.8771648737
104.524147402	41.6638437476
104.930342565	41.6519417105
105.012283513	41.5814450294
105.572747387	41.8866254673
107.471885252	42.4661631189
107.571068894	42.4103150988
109.313649195	42.429999237
110	42.641794461
> Border Bin # 154, Level 1
110	49.1889829862
109.544213016	49.2324711986
109.206988632	49.3603418021
108.554665446	49.3357747768
107.948882277	49.678034638
107.977721828	49.9458304723
> Border Bin # 154, Level 1
107.422751202	50
107.983825437	49.943541619
> Border Bin # 155, Level 1
110	42.641794461
110.440527962	42.7777523461
110.98970016	43.3170061799
111.590295262	43.4985885405
111.78393225	43.6725413901
111.95834287	43.6922255283
111.879453727	43.9389639124
111.674982834	44.0511177234
111.42137789	44.382543679
111.785000381	45.0005340658
111.980773632	45.0916304265
112.427252613	45.0803387503
112.853131914	44.8461127642
113.638056001	44.7452506294
114.462195773	45.2117189288
114.545204852	45.3894865339
115.701991302	45.4586099031
116.212710765	45.7239642939
116.290226596	45.9908445869
116.58548867	46.2958724346
116.841687648	46.3936827649
117.370870527	46.3643854429
117.421072709	46.5783169299
117.598840314	46.6117341878
117.716639963	46.5139238575
118.310215915	46.7370107576
118.765545129	46.6828412299
118.869459068	46.7727168688
119.363088426	46.6144808118
119.71419852	46.5993743801
119.928130007	46.7103074693
119.925535973	46.9088273442
119.725032425	47.1688410773
119.308613718	47.4244296941
119.339131762	47.4825665675
119.149462119	47.5338368811
119.125047684	47.6650644694
118.767223621	47.772793164
118.55771725	47.9952697032
117.801174945	48.0105287251
117.372243839	47.6536202029
116.874647135	47.8879987793
116.258335241	47.8785381857
115.93698024	47.6871900511
115.592278935	47.9194323644
115.542534524	48.1416037232
115.835812924	48.2525368124
115.811093309	48.5204852369
116.709697108	49.8294041352
116.608682383	49.9339284352
116.33432517	50
> Border Bin # 155, Level 1
116.12512398	50
115.747005417	49.8831158923
115.403372244	49.8997482261
115.235675593	50
> Border Bin # 155, Level 1
113.643091478	50
113.216601816	49.8191805905
113.090867475	49.5985351339
112.766918441	49.5008773938
112.491645686	49.5413138018
111.963836118	49.4068818189
111.371328298	49.3739223316
110.700236515	49.1422903792
110.401159686	49.255054551
110.207980468	49.1691462577
110	49.1889829862
> Border Bin # 155, Level 1
119.102769512	49.9905394064
119.122301061	50
> Border Bin # 155, Level 1
116.709239338	49.8294041352
117.170061799	49.6525520714
117.873044938	49.5077439536
118.583047227	49.9266041047
119.095597772	49.9894712749
> Border Bin # 156, Level 1
130	42.9750514992
129.906919966	43.005569543
129.701380941	42.4383916991
129.590905623	42.4452582589
129.5397879	42.3636224918
129.341878386	42.4458686198
129.190508888	42.3132677195
129.210345617	42.2172884718
128.919508659	42.0224307622
128.058899825	42.0033569848
128.101930266	41.7961394675
128.301976043	41.5777828641
128.155794614	41.3824673838
128.000762951	41.4454871443
127.647516594	41.402761883
127.270771344	41.472495613
127.102159152	41.535210193
127.178606851	41.5872434577
126.936140993	41.7944609751
126.786907759	41.6922255283
126.694743267	41.7402914473
126.563668269	41.6108949416
126.527199207	41.3574425879
126.123903258	41.0811017014
126.012207218	40.8963149462
125.761959258	40.883649958
125.405813687	40.620889601
125.286182956	40.6474402991
125.017776761	40.5308613718
125.040054932	40.457160296
